country,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Argentina,2070160.0,2491520.0,2813952.0,2861584.0,3795904.0,3982768.0,6254448.0,6254448.0,7617456.0,5935680.0,8907184.0,9944096.0,9478768.0,10145616.0,8672688.0,6939616.0,4986704.0,2231376.0,2520832.0,3726288.0,5891712.0,5539968.0,7298688.0,8445520.0,10959024.0,11237488.0,11259472.0,13373600.0,12739728.0,13131776.0,12769040.0,12845984.0,13102464.0,13234368.0,14241968.0,14000144.0,15099344.0,16715168.0,16352432.0,17382016.0,15868784.0,13945184.0,13483520.0,14080752.0,13956176.0,13670384.0,13707024.0,14520432.0,17396672.0,15370480.0,29927552.0,34969216.0,36101392.0,35141424.0,36757248.0,39567536.0,44305088.0,47617344.0,44202496.0,48948799.48,48764499.99,51126710.22,53640125.07,50032660.01,55670040.5,58804849.56,63072666.66,65475983.22,69009217.37,77248869.9,82648001.24,88844309.64,90061084.51,93967978.29,95469386.24,94831553.08,99665695.26,100650884.3,102476823.2,110510913.0,108519999.4,101819689.0,103206566.9,104978862.3,106282990.6,100366195.2,103933940.3,114611063.8,121129121.2,116802018.4,111890017.8,116845003.3,121016713.6,117564672.1,122010040.7,127598460.1,134643650.1,137558052.2,139354451.3,146510308.4,141716804.3,133310609.8,124382213.6,134620660.1,157033639.3,161424779.4,174617506.0,174232910.8,188041184.3,178867384.3,186686451.5,190247901.5,191044680.3,188428149.5,202671490.1,206367967.5,207064059.7,204323434.8
Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2395127.58,2493576.56,2571441.54,2698740.26,2894214.56,3077980.23,3265051.02,3447964.9,3605305.3,3706561.12,3860149.99,4060089.46,4314421.51,4545495.96,4744111.1,4931953.43,5191840.25,5394775.82,5581598.89,5775513.45,5825089.38,6056833.74,5949389.41,6064739.45,6158341.2,6219738.8,6708309.83,6734097.02,7020947.3,7218121.9,7074953.72,6642549.18,6440640.87,5719931.63,2508264.53,2683496.48,3360091.62,2497343.84,3246443.17,3411071.87,3033700.26,3491410.0,3532700.0,3076608.0,3455562.0,3691194.0,4379830.0,4405250.0,5107762.0,5582114.0,4362330.0,4260176.0,4968876.0,5748252.0,5549428.33,5581436.67,5791730.01,5960812.77,5656391.74
Aruba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,719370.9,618560.82,645552.56,708942.27,679087.76,660275.33,592387.01,553944.22,682359.49,634510.49,830405.12,928761.4,808320.97,783783.02,869461.36,788077.16,570711.82,1219127.14,636759.8,542288.69,568871.47,585434.59,557624.91,623468.41,320424.73,800141.65,936531.75,179536.0,447008.0,611888.0,648528.0,1637808.0,1681776.0,1461936.0,1593840.0,1612160.0,1667120.0,1689104.0,1744064.0,1795360.0,1806352.0,2377936.0,2407248.0,2436560.0,2561136.0,2616096.0,2718688.0,2715024.0,2821280.0,2656400.0,2627088.0,2506176.0,2498848.0,1348352.0,861040.0,872032.0,910361.29,928030.61,927865.82
Asia and Pacific (other),33913984.0,40417584.0,41626704.0,43993648.0,48452736.0,50750064.0,56674752.0,61229104.0,65468352.0,64944400.0,70257200.0,76889040.0,82963952.0,89430912.0,96799216.0,89178096.0,93988928.0,104189504.0,111191408.0,118794208.0,118713600.0,109722144.0,116757024.0,124491728.0,131911328.0,138261040.0,139261312.0,149938208.0,156951104.0,161223328.0,149864928.0,135263888.0,134509104.0,150967792.0,165143808.0,175296752.0,192198784.0,208236112.0,217568320.0,227439136.0,254439152.0,259451504.0,230355680.0,241050896.0,216366528.0,123476800.0,101569744.0,129947424.0,155020176.0,187545504.0,205370864.0,235954272.0,254816544.0,272330464.0,287067072.0,304097344.0,331705584.0,361772368.0,369602336.0,604497587.9,668260063.4,741388922.5,779377430.3,847966032.0,921666074.6,997006916.3,1065341990.0,1186227083.0,1303008608.0,1439015994.0,1634675993.0,1738779828.0,1826052969.0,1953845863.0,1976266454.0,1983313384.0,2082393703.0,2189029391.0,2225627003.0,2322646613.0,2368006964.0,2345140651.0,2349841861.0,2380035255.0,2481123794.0,2553867714.0,2594606844.0,2680186428.0,2893196806.0,2991494307.0,3034838326.0,3107688000.0,3155372501.0,3204298604.0,3276961735.0,3356212709.0,3465720371.0,3557848400.0,3381144064.0,3494828365.0,3679214015.0,3747595981.0,3867734095.0,3970646033.0,4098304122.0,4138394375.0,4175617147.0,4322472745.0,4368832879.0,4331930170.0,4536618116.0,4792675646.0,4881674338.0,4799612847.0,4802001006.0,4874047023.0,4961164905.0,5071156099.0
Australia,10167600.0,11439008.0,11395040.0,11219168.0,11545264.0,12047232.0,14359216.0,15476736.0,16755472.0,14553408.0,17436976.0,19239664.0,20785872.0,22390704.0,24479184.0,21793472.0,19272640.0,20760224.0,22940304.0,21738512.0,25732272.0,23152816.0,24343616.0,24849248.0,27069632.0,28234784.0,27853728.0,28894304.0,26289200.0,23654784.0,22031632.0,19547440.0,20342528.0,21580960.0,22698480.0,25230304.0,27051312.0,28857664.0,28036928.0,32144272.0,29040864.0,34547856.0,36504432.0,34991200.0,34210768.0,32697536.0,35423552.0,38017664.0,38424368.0,37651264.0,54743824.0,59034368.0,60206848.0,59441072.0,67846288.0,70682224.0,73038176.0,74525760.0,77618176.0,83708157.14,88118899.96,90503896.51,94823455.35,100934264.5,108875766.1,120852668.9,120219302.1,129144211.7,134496899.7,142123802.5,147479768.2,152629536.2,157335545.3,170827394.5,172189386.2,175713926.1,174074696.8,187604866.9,201820178.7,204869575.0,220531000.1,230132643.2,233888646.4,224785013.7,236361192.4,240987972.4,239722218.6,255850224.3,260878795.5,277485607.8,278424375.7,279872363.9,284912124.3,289234856.5,294014610.4,305409799.3,312361210.0,320794696.4,334684106.5,344063336.2,350194581.8,357668742.8,362209093.8,369725835.4,383204944.7,386515211.6,392681873.2,400415729.4,405048537.2,408672631.7,406752772.7,404246571.2,407146057.1,398163798.2,393464239.2,402995453.4,413369923.0,413092654.5
Austria,27674192.0,28363024.0,25655328.0,25549072.0,26926736.0,28106544.0,33536592.0,42117680.0,58942768.0,42168976.0,57517472.0,48038704.0,49940320.0,59627936.0,48833792.0,34899600.0,8031488.0,3451488.0,3337904.0,3015472.0,14527760.0,19338592.0,18587472.0,17777728.0,20093376.0,18990512.0,18620448.0,20122688.0,21192576.0,24175072.0,18865936.0,18103824.0,15172624.0,14230976.0,13754656.0,13923200.0,13593440.0,15260560.0,5789120.0,6338720.0,7346320.0,7976528.0,8548112.0,9614336.0,9390832.0,4561680.0,12761712.0,17631168.0,24490176.0,26578656.0,20899456.0,23270064.0,22075600.0,21720192.0,24512160.0,29077504.0,28212800.0,29187424.0,28095552.0,27909903.47,30784479.38,31824045.04,33864982.18,36949059.84,38896435.74,38140552.25,39208597.87,39915571.57,42297141.85,44638408.14,50631701.8,52069169.65,56071341.13,60015780.7,57294511.82,54214066.49,58204280.17,55994225.24,57227135.14,61322009.64,52025653.9,55833681.16,53566102.34,51669101.98,54214958.36,54367246.63,53729521.52,57374955.94,52938383.04,53697486.52,62292228.93,65899677.65,60431459.18,60787739.13,61190346.75,64205950.22,67673887.44,67453011.31,67054364.04,65621004.96,66261743.06,70390857.43,72146538.21,77764249.22,78052545.98,79366679.88,76688464.51,74032117.13,73806271.05,67483059.72,72383144.13,70115670.43,67661399.55,68001230.43,64253326.18,66703987.93,67402082.59,69941755.62
Azerbaijan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23124154.55,24075606.79,24828176.7,26058100.18,27945598.34,29720143.06,31527243.99,33294285.07,34814003.2,35792041.02,37275120.47,39206192.88,41613670.47,43792020.07,45651011.01,47399431.95,49834007.78,51751491.6,53510853.94,55346690.86,55803009.41,57998230.03,56900165.49,57975888.98,58804953.49,59332520.56,63989368.41,64160540.86,66861913.61,68697236.04,67254431.74,63052952.43,60800253.65,56175802.12,48408341.95,41946559.46,33311115.77,31241610.46,29803859.9,31665041.51,28570228.23,29506320.0,28792679.66,29641849.5,30626721.45,32078155.38,34286420.0,39108540.0,30458270.0,35450600.0,31856630.0,30632888.0,33396618.0,35496946.0,35579960.99,37414423.24,40241429.05,39688284.55,38209717.67
Bahamas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54960.0,65952.0,76944.0,80608.0,84272.0,128240.0,139232.0,175872.0,179536.0,260144.0,410368.0,545936.0,725472.0,707152.0,1084544.0,1315376.0,1091872.0,1700996.42,1627716.42,1740765.53,2568770.1,6723746.1,6481298.07,7862744.93,7379750.68,8246118.77,6457396.0,9708688.51,6597044.06,6915652.51,7972124.91,2798439.94,2258485.42,2014373.66,1853984.0,1509568.0,1410640.0,1421632.0,1538880.0,1945584.0,1949248.0,1780704.0,1791696.0,1700096.0,1685440.0,1681776.0,1667120.0,1363008.0,1678112.0,1674448.0,1667120.0,1568192.0,1575520.0,1516896.0,1722080.0,1740400.0,1663456.0,1689104.0,1494912.0,1641472.0,1652464.0,1864976.0,1967568.0,2799296.0,2414576.0,2516529.39,2565305.4,2564350.48
Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10992.0,120912.0,531280.0,1949248.0,3253632.0,3477136.0,3184016.0,2967840.0,2850592.0,2616096.0,2758992.0,2817616.0,3063104.0,3359888.0,3949792.0,4576336.0,4609312.0,1381328.0,1176144.0,1286064.0,996608.0,1044240.0,1403312.0,1055232.0,754784.0,1289728.0,1311712.0,575248.0,1769712.0,1590176.0,1194464.0,1597504.0,1227440.0,648528.0,1003936.0,1102864.0,1271408.0,2590448.0,3037456.0,3678656.0,5517984.0,5400736.0,5748816.0,6569552.0,7463568.0,7760352.0,8126752.0,7881264.0,8518800.0,9830512.0,8222016.0,9200304.0,10185920.0,11002992.0,11420688.0,12142562.28,11716745.85,12405381.15,11855329.08,10873843.51,14609781.84,14755641.13,14787087.46,15589624.52,17287730.73,18365542.27,17988113.31,18617914.65,13905337.45,15677178.19,16437202.57,17439106.33,19132508.94,18756920.19,26770051.89,29682446.87,28097529.42,29074829.99,28438830.2,26448224.54,31083889.86,31088952.53,32846928.17,34265093.36,34455693.49
Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1840006.0,2211905.19,2290409.29,2516755.89,2893241.42,2974611.98,3121305.4,3176312.75,3371140.76,3865663.09,3749327.19,3803196.7,3606066.28,3506358.85,4550569.14,4656587.41,4865108.53,5564097.96,5802615.89,6005382.15,6634031.85,7620953.54,7911830.08,8577660.36,8213791.78,9100756.08,10211194.66,11433743.74,11830335.71,13510323.69,13416309.95,15489962.47,15902559.19,17708789.25,17367915.32,18927975.9,22771386.67,23949642.08,24948031.93,23911114.73,25017429.09,27504891.51,31943866.38,33185370.29,35140640.25,37161862.21,38915897.88,42955696.65,43766440.57,48307613.72,52292608.83,58281848.69,61597468.63,65602526.31,67706514.62,71145678.53,83500786.53,85253607.89,88057460.51
